Voc (V),-HOMO (eV),-LUMO (eV),bandgap(eV),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),X,Y,Z,Tot,E(t-s)(eV),S1,S2,S3,S4,S5,DH,DL,DT1,DS1,DST,Eb,t_DL,t_DH
0.43,4.89,3.08,1.41,-4.51491,-2.58454,1.93038,3.0124,0.0877,-0.2882,3.0274,1.23279,1.6947,1.9479,2.3194,2.5694,2.5866,1.46509,0.6554600000000002,-0.6692099999999999,-0.36529999999999996,0.46191000000000004,0.2356799999999999,0.5192031741868025,0.23105719539393504
0.82,5.2,3.5,1.7,-4.75791,-2.66372,2.09419,-2.6788,0.5721,0.1218,2.7419,1.34012,1.805,2.115,2.3709,2.7014,2.8551,1.2220900000000006,0.5762800000000001,-0.5618799999999999,-0.2550000000000001,0.46487999999999996,0.2891900000000003,0.5619850673460945,0.2946137802236147
0.72,5.4,3.42,1.85,-5.1239,-2.57964,2.54426,4.8392,-0.1454,0.6002,4.8784,1.86105,2.29,2.4331,2.5277,2.6398,2.7733,0.8561000000000005,0.6603600000000003,-0.04094999999999982,0.22999999999999998,0.42894999999999994,0.25425999999999993,0.51666530149923,0.424815636774098
0.79,5.45,3.92,1.57,-5.48799,-3.28224,2.20575,-2.9852,-1.0949,-2.4059,3.9873,1.5362,1.9023,2.0899,2.3071,2.4523,2.5038,0.4920100000000005,-0.04223999999999961,-0.3657999999999999,-0.15769999999999995,0.3661000000000001,0.30345,1.043144803463427,0.61139625183932
0.93,5.44,3.46,2.13,-4.94512,-2.12847,2.81665,1.081,0.1762,0.8713,1.3995,1.98992,2.5488,2.8092,2.8425,3.1328,3.1568,1.0348800000000002,1.1115300000000001,0.08792,0.4887999999999999,0.55888,0.26785000000000014,0.32905512140038173,0.35526901064839467
0.86,5.43,3.36,2.07,-5.04363,-2.21283,2.8308,3.1509,0.2959,2.9403,4.3198,1.98812,2.502,2.7644,3.061,3.2201,3.4159,0.9363700000000001,1.0271700000000004,0.0861200000000002,0.4419999999999997,0.5138799999999997,0.3288000000000002,0.35801872123364076,0.3920483911497571
0.83,5.2,3.14,1.79,-4.75927,-2.69311,2.06616,-0.9669,4.0907,0.107,4.2047,1.40877,1.8031,2.0224,2.3621,2.5672,2.7153,1.2207300000000005,0.5468900000000003,-0.49322999999999984,-0.25690000000000013,0.39432999999999985,0.26306000000000007,0.5787469173436145,0.2950147275470994
0.43,5.01,3.03,1.69,-4.63927,-2.59678,2.04249,0.1268,-0.1342,0.0231,0.186,1.38348,1.7752,1.9894,2.3292,2.5264,2.7219,1.3407300000000006,0.6432200000000003,-0.5185199999999999,-0.28480000000000016,0.39171999999999985,0.26729,0.5255972730953223,0.2616545909940666
0.88,5.48,3.32,1.77,-4.95302,-2.64059,2.31242,2.6346,-0.3322,-0.0029,2.6554,1.54786,2.0699,2.4181,2.6678,2.8382,2.8754,1.02698,0.5994100000000002,-0.3541399999999999,0.00990000000000002,0.5220400000000001,0.24251999999999985,0.5491355304987756,0.3580867512533225
0.81,5.09,3.34,1.75,-4.98023,-2.77692,2.20331,0.864,-0.2419,-0.0032,0.8972,1.47452,1.8939,2.2185,2.3736,2.4256,2.5062,0.9997700000000007,0.46308000000000016,-0.42747999999999986,-0.16610000000000014,0.41937999999999986,0.3094100000000002,0.6293422831115648,0.3679640631740687
