Nickname,bandgap(eV),c_smiles,newSMILES
PT-C3,1.91,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1
PBDT[2H]T,2.1,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(C)s1
PBDT[2F]T,2.1,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(c(F)c1F)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(C)c(F)c1F
PGe1-C8,1.33,CCCCCCCC[Ge]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
poly(CR-TPA),1.8,CCCCCCCCc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c(cc(C)c5nsnc54)c4nsnc34)cc2)cc1,Cc1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)-c1cc2c3nsnc3c(C)cc2c2nsnc12
PSBTBT,1.45,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
PCPDTBT,1.43,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
PCPDTDFBT,1.51,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3c(F)c(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
PCPDTFBT,1.44,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3cc(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1cc(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2cc(F)c(C)c3nsnc23)c2nsnc12
PTTEHV,1.8,C/C=C/c1cc(C[C@H](CC)CCCC)c(-c2nc3sc(-c4sc(C)cc4CC(CC)CCCC)nc3s2)s1,C\C=C\c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(\C=C\c2cc(C)c(s2)-c2nc3sc(nc3s2)-c2sc(C)cc2C)cc1C
PGeBTBT,1.47,CCCCC(CC)C[Ge]1(C[C@@H](CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
PBTTPD,1.77,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(-c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(s3)-c3ccc(s3)-c3sc(-c4ccc(s4)-c4ccc(C)s4)c4C(=O)N(C)C(=O)c34)c2C1=O
PDTPBT-C8,1.41,CCCCCCCCC(CCCCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
pDSBT-BT,1.7,CCCC[Si]1(CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc2[Si]1(CCCC)CCCC,Cc1cc2c(s1)-c1sc(cc1[Si](C)(C)[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si](C)(C)[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
PBTCTO,1.85,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C=C4)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C=CC(=O)c23)c2C=CC(=O)c12
PBTFDO,1.57,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(F)(F)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)C(F)(F)C(=O)c23)c2C(=O)C(F)(F)C(=O)c12
PBDTT,2.13,CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1
PBDT-3MT,2.07,CCCCC(CC)COc1c2cc(-c3cc(C(=O)OC)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COC(=O)c1cc(sc1C)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(cc1C(=O)OC)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1
PDTBTFV,1.79,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(/C(F)=C(/C)F)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)C(\F)=C(/F)c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)C(\F)=C(\C)F)c3nsnc23)c2nsnc2c1-c1ccc(C)s1
PDTBTV,1.69,C/C=C/c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(C)s3)c3nsnc23)s1,COc1c(OC)c(-c2ccc(\C=C\c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(\C=C\C)s4)c4nsnc34)s2)c2nsnc2c1-c1ccc(C)s1
PTVTPD,1.77,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(/C=C/c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(\C=C\c4ccc(s4)-c4sc(-c5ccc(\C=C\c6ccc(C)s6)s5)c5C(=O)N(C)C(=O)c45)s3)c2C1=O
PBTT-BT (P1),1.75,CCCCCCCCC(CCCCCCCC)c1cc2c3cc(-c4ccc(C)c5nsnc45)sc3c3sc(C)cc3c2s1,Cc1cc2c3cc(sc3c3sc(C)cc3c2s1)-c1ccc(-c2cc3c4sc(C)cc4c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
PNB-3,1.63,CCCCC(CC)COc1cc2c(cc1OCC(CC)CCCC)c1cc(-c3ccc(C)c4nsnc34)sc1c1sc(C)cc21,COc1cc2c3cc(C)sc3c3sc(cc3c2cc1OC)-c1ccc(-c2cc3c(s2)c2sc(cc2c2cc(OC)c(OC)cc32)-c2ccc(C)c3nsnc23)c2nsnc12
PITFBT,1.8,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3c(F)cc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2-c3sc(cc3C(C)(C)c2c1)-c1c(F)cc(-c2ccc(s2)-c2ccc3-c4sc(cc4C(C)(C)c3c2)-c2c(F)cc(C)c3nsnc23)c2nsnc12
poly(NTD-TPA),2.03,CCCCCCCCc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c5ccccc5c(C)cc4c4ccccc34)cc2)cc1,Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)-c1cc2c3ccccc3c(cc2c2ccccc12)-c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)-c1cc2c3ccccc3c(C)cc2c2ccccc12
P2,1.96,CCCCC(CC)COc1c2cc(-c3cc(/C=C/c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc(\C=C\c2cccs2)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc(\C=C\c2cccs2)c(C)s1
PITBT,1.82,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2-c3sc(cc3C(C)(C)c2c1)-c1ccc(-c2ccc(s2)-c2ccc3-c4sc(cc4C(C)(C)c3c2)-c2ccc(C)c3nsnc23)c2nsnc12
PBTPDO,1.75,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(=C(C)C)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)C(=C(C)C)C(=O)c23)c2C(=O)C(=C(C)C)C(=O)c12
P3,1.9,CCCCC(CC)COc1c2cc(-c3cc(/C=C(\C#N)c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc(\C=C(/C#N)c2cccs2)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc(\C=C(/C#N)c2cccs2)c(C)s1
PTTIBT,1.68,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3ccc(C)s3)ccc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2c(c1)n(C)c1cc(sc21)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(sc32)-c2ccc(C)c3nsnc23)c2nsnc12
PDTPDFBT,1.38,Cc1cc2c(s1)-c1sc(-c3c(F)c(F)c(C)c4nsnc34)cc1OC2(CCC(C)CCCC(C)C)CCC(C)CCCC(C)C,Cc1cc2c(s1)-c1sc(cc1OC2(C)C)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2OC3(C)C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
P4TBT,1.88,CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(C)c5nsnc45)s3)sc2C)s1,Cc1sc(cc1-c1cccs1)-c1cc(-c2cccs2)c(s1)-c1ccc(-c2sc(cc2-c2cccs2)-c2cc(-c3cccs3)c(s2)-c2ccc(C)c3nsnc23)c2nsnc12
PEBT,1.77,CCCCCCCCCCCCc1cc(C)sc1/C=C/c1sc(C)cc1CCCCCCCCCCCC,Cc1cc(C)c(\C=C\c2sc(cc2C)-c2cc(C)c(\C=C\c3sc(cc3C)-c3cc(C)c(\C=C\c4sc(C)cc4C)s3)s2)s1
PFTTz,2.17,CCCCCCCCc1nc2c(-c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3cc(C)ccc3-4)sc(C)c2s1,Cc1nc2c(sc(C)c2s1)-c1ccc2-c3ccc(cc3C(C)(C)c2c1)-c1sc(-c2ccc3-c4ccc(C)cc4C(C)(C)c3c2)c2nc(C)sc12
P(PTQD-Th),1.84,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2nc3c(nc2C1=O)c1sc(-c2ccc(C)s2)cc1c1cc(C)sc13,CN1C(=O)c2nc3c4sc(C)cc4c4cc(sc4c3nc2C1=O)-c1ccc(s1)-c1cc2c3cc(sc3c3nc4C(=O)N(C)C(=O)c4nc3c2s1)-c1ccc(C)s1
PBDTS-FBT,1.73,CCCCC(CC)CSc1ccc(-c2c3cc(-c4c(F)c(F)c(C)c5nsnc45)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(C)sc12)-c1c(F)c(F)c(-c2cc3c(-c4ccc(SC)s4)c4sc(cc4c(-c4ccc(SC)s4)c3s2)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
TQ1,1.7,CCCCCCCCOc1cccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,COc1cccc(c1)-c1nc2c(C)ccc(-c3ccc(s3)-c3ccc(-c4ccc(s4)-c4ccc(-c5ccc(C)s5)c5nc(-c6cccc(OC)c6)c(nc45)-c4cccc(OC)c4)c4nc(-c5cccc(OC)c5)c(nc34)-c3cccc(OC)c3)c2nc1-c1cccc(OC)c1
P(T-QX),1.65,CCCCCCCCOc1ccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,COc1ccc(cc1)-c1nc2c(C)ccc(-c3ccc(s3)-c3ccc(-c4ccc(s4)-c4ccc(-c5ccc(C)s5)c5nc(-c6ccc(OC)cc6)c(nc45)-c4ccc(OC)cc4)c4nc(-c5ccc(OC)cc5)c(nc34)-c3ccc(OC)cc3)c2nc1-c1ccc(OC)cc1
TQF2-1,1.8,CCCCCCCCOc1cccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,COc1cccc(c1)-c1nc2c(C)c(F)c(F)c(-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(C)s5)c5nc(-c6cccc(OC)c6)c(nc45)-c4cccc(OC)c4)c4nc(-c5cccc(OC)c5)c(nc34)-c3cccc(OC)c3)c2nc1-c1cccc(OC)c1
P1,1.37,CCCCCCC(CCCC)Cc1cc(-c2ccc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1ccc(-c2cc(OC)c(s2)-c2sc(cc2C)-c2ccc(C)c3nsnc23)c2nsnc12
PCz,2,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C)ccc2c2ccc(C)cc21,Cc1ccc2c(c1)n(C)c1cc(ccc21)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1ccc2c(c1)n(C)c1cc(C)ccc21
P3,1.46,CCCCCCC(CCCC)Cc1cc(-c2c(F)c(F)c(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(OC)c(s2)-c2sc(cc2C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
P2,1.37,CCCCCCC(CCCC)Cc1cc(-c2c(F)cc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1c(F)cc(-c2cc(OC)c(s2)-c2sc(cc2C)-c2c(F)cc(C)c3nsnc23)c2nsnc12
PCTTz,2.11,CCCCCCCCc1nc2c(-c3ccc4c5ccc(C)cc5n(C(CCCCCC)CCCCCC)c4c3)sc(C)c2s1,Cc1nc2c(sc(C)c2s1)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1sc(-c2ccc3c(c2)n(C)c2cc(C)ccc32)c2nc(C)sc12
PDDTT,1.99,CCCCCCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
F12,1.95,CCCCCCCCCCCCc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CCCCCCCCCCCC,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(c(C)c1C)-c1cc(F)c(s1)-c1sc(cc1F)-c1sc(C)c(C)c1C
PBDT-DTBTz,1.97,CCCCCCCCC(CCCCCCCC)n1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5cc6sc(C)cc6cc5s4)s3)c2n1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3cc4sc(cc4cc3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4cc5sc(C)cc5cc4s3)c3nn(C)nc23)c2nn(C)nc12
P3,2.14,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3sc(C)cc3/C=C/c3ccc(C=C(C#N)C#N)s3)cc21,Cc1cc(\C=C\c2ccc(C=C(C#N)C#N)s2)c(s1)-c1ccc2-c3ccc(cc3C(C)(C)c2c1)-c1cc(\C=C\c2ccc(C=C(C#N)C#N)s2)c(s1)-c1ccc2-c3ccc(C)cc3C(C)(C)c2c1
PTTIMBI,1.54,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3ccc(C)s3)ccc2c2sc(-c3ccc(C)c4c3=NC(C)(C)N=4)cc21,Cc1ccc(s1)-c1ccc2c(c1)n(C)c1cc(sc21)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(sc32)-c2ccc(C)c3=NC(C)(C)N=c23)c2=NC(C)(C)N=c12
P1,1.57,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nonc45)s3)cc21,Cc1ccc(s1)-c1nnc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2nnc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nonc23)c2nonc12
PGFDTBT,1.79,CCCCCCCC[Ge]1(CCCCCCCC)c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc2-c2ccc(C)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)-c2ccc(cc2[Ge]3(C)C)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4c(c3)-c3ccc(C)cc3[Ge]4(C)C)c3nsnc23)c2nsnc12
PF-DTBT,1.85,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4ccc(cc4C(C)(C)c3c2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4-c5ccc(C)cc5C(C)(C)c4c3)c3nsnc23)c2nsnc12
PSiF-DBT,1.82,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4ccc(cc4[Si](C)(C)c3c2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4-c5ccc(C)cc5[Si](C)(C)c4c3)c3nsnc23)c2nsnc12
TPO(CO)(2EH/C1),1.79,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(C(C)=O)C5=O)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CC(=O)N1C(=O)c2c(C)sc(-c3cc4c(-c5cccs5)c5sc(cc5c(-c5cccs5)c4s3)-c3sc(-c4cc5c(-c6cccs6)c6sc(C)cc6c(-c6cccs6)c5s4)c4C(=O)N(C(C)=O)C(=O)c34)c2C1=O
H3,2.03,C/C=C/c1cc2c(OCCCCCCCCCCCC)c3sc(C)cc3c(OCCCCCCCCCCCC)c2s1,COc1c2cc(C)sc2c(OC)c2cc(\C=C\c3cc4c(OC)c5sc(\C=C\c6cc7c(OC)c8sc(\C=C\C)cc8c(OC)c7s6)cc5c(OC)c4s3)sc12
PBDT-BOZ,1.68,CCCCCC(CCCCC)Oc1c2cc(-c3ccc(C)c4nonc34)sc2c(OC(CCCCC)CCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(C)c3nonc23)c2nonc12
PCDTPX,1.67,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nonc45)s3)cc21,Cc1ccc(s1)-c1ncc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2ncc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nonc23)c2nonc12
PCDTPT,1.75,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nsnc45)s3)cc21,Cc1ccc(s1)-c1ncc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2ncc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nsnc23)c2nsnc12
PCzTh-TVDCN,2.05,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3cc(/C=C/c4ccc(C=C(C#N)C#N)s4)c(C)s3)cc21,Cc1sc(cc1\C=C\c1ccc(C=C(C#N)C#N)s1)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1sc(cc1\C=C\c1ccc(C=C(C#N)C#N)s1)-c1ccc2c(c1)n(C)c1cc(C)ccc21
