idx,Nickname,HOMO(eV),LUMO(eV),bandgap(eV),Ref.No,smiles_monomer,smiles_oligomer
738,PBDT-TffBT (P3),-5.52,-3.87,1.65,S217,CCCCCCc1cc(CCCCCC)c(-c2sc(-c3c4cc(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nsnc67)s5)sc4c(-c4cc(CCCCCC)c(-c5sc(CCCCCC)cc5CCCCCC)s4)c4cc(C)sc34)cc2CCCCCC)s1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12
739,DT-PDPP3T,-5.25,-3.89,1.36,S93,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(C)s4)s3)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1ccc(C)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1ccc(s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1ccc(C)s1
740,PBDT2FBT-T-O,-5.41,-3.69,1.72,S218,CCCCCCC(CCCC)COc1ccc(-c2c3cc(C)sc3c(-c3ccc(OC[C@@H](CCCC)CCCCCC)s3)c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12
741,PBDT2FBT-O,-5.48,-3.69,1.79,S218,CCCCCCC(CCCC)COc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(OCC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12
742,PIDSFBT-OCH8,-5.32,-3.64,1.68,S318,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc4c(cc3-c3[se]c(C)cc32)C(c2ccc(OCCCCCCCC)cc2)(c2ccc(OCCCCCCCC)cc2)c2cc(-c3c(F)c(F)c(C)c5nsnc35)[se]c2-4)cc1,Cc1cc2c([se]1)-c1cc3c(cc1C2(c1ccccc1)c1ccccc1)-c1[se]c(cc1C3(c1ccccc1)c1ccccc1)-c1c(F)c(F)c(-c2cc3c([se]2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2[se]c(cc2C4(c2ccccc2)c2ccccc2)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
743,PQTVTDPP,-5.05,-3.72,1.33,S385,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(/C=C/c2ccc(-c3sc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)s7)=C6C(=O)N5CC(CC)CCCC)s4)cc3CCCCCCCCCCCC)s2)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc(C)c(s1)-c1ccc(\C=C\c2ccc(s2)-c2sc(C)cc2C)s1
744,PTIPSBDT-DFDTQX,-5.62,-3.77,1.85,S242,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(C#C[Si](C(C)C)(C(C)C)C(C)C)c7sc(C)cc7c(C#C[Si](C(C)C)(C(C)C)C(C)C)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(C#C[SiH3])c4sc(cc4c(C#C[SiH3])c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(C#C[SiH3])c5sc(C)cc5c(C#C[SiH3])c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
745,PTIPSBDT-DTQX,-5.48,-3.67,1.81,S242,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(C#C[Si](C(C)C)(C(C)C)C(C)C)c7sc(C)cc7c(C#C[Si](C(C)C)(C(C)C)C(C)C)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(C#C[SiH3])c4sc(cc4c(C#C[SiH3])c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(C#C[SiH3])c5sc(C)cc5c(C#C[SiH3])c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
746,PFBDT-DTffBT,-5.82,-4.03,1.79,S456,CCCCC(CC)CC1(CC(CC)CCCC)c2ccccc2-c2ccc(-c3c4cc(-c5ccc(-c6c(F)c(F)c(-c7ccc(C)s7)c7nsnc67)s5)sc4c(-c4ccc5c(c4)C(CC(CC)CCCC)(CC(CC)CCCC)c4ccccc4-5)c4cc(C)sc34)cc21,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4ccc5-c6ccccc6C(C)(C)c5c4)c4sc(cc4c(-c4ccc5-c6ccccc6C(C)(C)c5c4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5ccc6-c7ccccc7C(C)(C)c6c5)c5sc(C)cc5c(-c5ccc6-c7ccccc7C(C)(C)c6c5)c4s3)c3nsnc23)c2nsnc12
747,DTBTBT-T,-4.9,-2.7,2.2,S332,CCCCCCCCCCCCc1c(CCCCCCCCCCCC)c2c(sc3c2sc2c4sc(-c5ccc(C)s5)cc4c(CCCCCCCCCCCC)c(CCCCCCCCCCCC)c23)c2sc(C)cc12,Cc1ccc(s1)-c1cc2c(C)c(C)c3c(sc4c3sc3c5sc(cc5c(C)c(C)c43)-c3ccc(s3)-c3cc4c(C)c(C)c5c(sc6c5sc5c7sc(C)cc7c(C)c(C)c65)c4s3)c2s1
748,P3,-5.1,-3.4,1.7,S361,CCCCCCCCCCC(CCCCCCCC)Cn1c2cc3c4sc(-c5sc(C)c6c5C(=O)N(CCCCCCCC)C6=O)cc4n(CC(CCCCCCCC)CCCCCCCCCC)c3cc2c2sc(C)cc21,CN1C(=O)c2c(C)sc(-c3cc4n(C)c5cc6c(cc5c4s3)n(C)c3cc(sc63)-c3sc(-c4cc5n(C)c6cc7c(cc6c5s4)n(C)c4cc(C)sc74)c4C(=O)N(C)C(=O)c34)c2C1=O
749,PFBDT-DTBT,-5.41,-3.7,1.71,S456,CCCCC(CC)CC1(CC(CC)CCCC)c2ccccc2-c2ccc(-c3c4cc(-c5ccc(-c6ccc(-c7ccc(C)s7)c7nsnc67)s5)sc4c(-c4ccc5c(c4)C(CC(CC)CCCC)(CC(CC)CCCC)c4ccccc4-5)c4cc(C)sc34)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4ccc5-c6ccccc6C(C)(C)c5c4)c4sc(cc4c(-c4ccc5-c6ccccc6C(C)(C)c5c4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5ccc6-c7ccccc7C(C)(C)c6c5)c5sc(C)cc5c(-c5ccc6-c7ccccc7C(C)(C)c6c5)c4s3)c3nsnc23)c2nsnc12
750,PtBTPDPP,-5.2,-3.99,1.21,S444,CCCCCCCCCCCCCCCCCCCCN1C(=O)C2=C(c3ccc(-c4cc5c(s4)/C(=C4\c6ccccc6-c6cc(C)sc64)c4ccccc4-5)s3)N(CCCCCCCCCCCCCCCCCCCC)C(=O)C2=C1c1ccc(C)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2-c3ccccc3\C(=C3\c4ccccc4-c4cc(sc34)-c3ccc(s3)C3=C4C(=O)N(C)C(=C4C(=O)N3C)c3ccc(s3)-c3cc4-c5ccccc5\C(=C5\c6ccccc6-c6cc(C)sc56)c4s3)c2s1
751,PTR7a,-5.2,-3.43,1.77,S283,CCCCCCC(CCCC)COc1c2sc3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c2c(OCC(CC)CCCC)c2sc3c(sc4c(OCC(CC)CCCC)c5cc(C)sc5c(OCC(CC)CCCC)c43)c12,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2sc3c(OC)c4c(sc5c4sc4c(OC)c6cc(sc6c(OC)c54)-c4sc(-c5cc6sc7c(OC)c8c(sc9c8sc8c(OC)c%10cc(C)sc%10c(OC)c98)c(OC)c7c6s5)c5sc(C(=O)OC)c(F)c45)c(OC)c3c2s1
752,DT-PDPP2T-TT,-5.1,-3.72,1.38,S468,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C(c3ccc(C)s3)N(C[C@H](CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1ccc(-c2cc3sc(C)cc3s2)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2sc(cc2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2sc(C)cc2s1
753,DT-PDPPTPT,-5.4,-3.86,1.54,S93,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(C)cc4)s3)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C2=C1c1ccc(C)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1ccc(cc1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1ccc(C)cc1
