idx,HOMO-B3LYP(eV),LUMO-B3LYP(eV),HOMO-LUMO-B3LYP(eV),HOMO-wB97XD(eV),LUMO-wB97XD(eV),HOMO-LUMO-wB97XD(eV),HOMO-camB3LYP(eV),LUMO-camB3LYP(eV),HOMO-LUMO-camB3LYP(eV),HOMO-PBE(eV),LUMO-PBE(eV),HOMO-LUMO-PBE(eV),S1-state-B3LYP(eV)
92,-4.89832,-2.55923,2.33909,-6.63196,-1.02886,5.6031,-6.05426,-1.53908,4.51518,-4.39328,-3.0991,1.29417,1.9945
93,-5.14132,-2.06752,3.0738,-6.94924,-0.48409,6.46515,-6.38325,-1.01145,5.3718,-4.5277,-2.55896,1.96874,2.6815
94,-4.89941,-2.59379,2.30562,-6.6042,-1.13499,5.46922,-6.03195,-1.6433,4.38865,-4.37532,-2.99733,1.37798,2.0554
95,-4.89723,-2.49474,2.40249,-6.60883,-1.01498,5.59384,-6.03576,-1.52601,4.50974,-4.36906,-2.91434,1.45472,2.1354
96,-4.79709,-2.42372,2.37338,-6.5408,-0.953215,5.58758,-5.9748,-1.46642,4.50838,-4.09667,-2.81311,1.28356,2.0569
97,-4.85641,-2.52522,2.3312,-6.53699,-1.06233,5.47466,-5.97426,-1.57472,4.39954,-4.34158,-2.93203,1.40955,2.0978
98,-4.90784,-2.50154,2.4063,-6.6189,-1.0207,5.5982,-6.0461,-1.53254,4.51355,-4.37913,-2.92087,1.45826,2.1385
99,-4.59763,-2.44549,2.15215,-6.29726,-1.00111,5.29615,-5.73752,-1.50125,4.23627,-3.96905,-2.8493,1.11975,1.9129
100,-4.69043,-2.8991,1.79133,-6.35848,-1.53853,4.81995,-5.79276,-2.02425,3.7685,-4.21368,-3.26428,0.949405,1.5424
101,-4.72226,-2.54426,2.178,-6.41644,-1.11594,5.3005,-5.85643,-1.615,4.24144,-4.10892,-2.92849,1.18043,1.9466
102,-4.8858,-2.69066,2.19514,-6.59223,-1.24247,5.34976,-6.02378,-1.7516,4.27219,-4.37641,-3.08577,1.29064,1.9249
103,-4.65668,-2.51678,2.1399,-6.35032,-1.06941,5.28091,-5.78977,-1.56928,4.22049,-4.04851,-2.92903,1.11948,1.8987
104,-4.49015,-2.04711,2.44304,-6.2061,-0.610895,5.5952,-5.64146,-1.11104,4.53042,-3.88606,-2.47814,1.40792,2.166
105,-4.78104,-2.30508,2.47596,-6.51495,-0.765184,5.74976,-5.93589,-1.2754,4.66049,-4.276,-2.85992,1.41608,2.1256
106,-4.92608,-2.67052,2.25555,-6.64556,-1.20927,5.43629,-6.07385,-1.71921,4.35464,-4.40634,-3.07271,1.33363,1.97
107,-4.96798,-2.6044,2.36358,-6.66407,-1.14288,5.52119,-6.0978,-1.64302,4.45478,-4.42784,-3.05584,1.372,2.1069
108,-4.68117,-2.49528,2.18589,-6.37481,-1.04845,5.32636,-5.81426,-1.54697,4.26729,-4.07926,-2.91162,1.16764,1.9457
109,-4.73886,-2.56086,2.178,-6.4491,-1.14206,5.30704,-5.88147,-1.63813,4.24334,-4.12416,-2.95516,1.169,1.9065
110,-4.92662,-2.58127,2.34535,-6.62352,-1.12628,5.49724,-6.05671,-1.62452,4.43219,-4.38403,-3.03026,1.35377,2.0823
111,-4.79546,-2.44222,2.35324,-6.46706,-0.99376,5.4733,-5.89943,-1.49799,4.40144,-4.28606,-2.84985,1.43622,2.1278
