Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,HOMO(eV),LUMO(eV)
PDPP-DTS,1.29,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(C)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(s1)-c1sc(C)cc1[Si]2(C)C,S28,-5.04,-3.75
PBDTBT,1.78,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(-c4ccc(C)c5nsnc45)sc3c3sc(C)cc23)s1,Cc1cc2c(-c3cccs3)c(-c3cccs3)c3cc(sc3c2s1)-c1ccc(-c2cc3c(-c4cccs4)c(-c4cccs4)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S363,-5.34,-3.5599999999999996
PBDTTT-R,1.67,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(C)c4c(F)c(C(=O)OCC(CC)CCCC)sc34)sc2c(-c2ccc(OCC(CC)CCCC)cc2)c2cc(C)sc12,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(OC)c3sc(cc3c(-c3ccc(OC)cc3)c2s1)-c1sc(-c2cc3c(OC)c4sc(C)cc4c(-c4ccc(OC)cc4)c3s2)c2sc(C(=O)OC)c(F)c12,S415,-5.06,-3.3899999999999997
PTG1,2.03,CCCCCCc1csc(-c2ccc(-c3cc(CCCCCC)c(/C=C/c4cc(-c5cc6c(OCC(CC)CCCC)c7sc(C)cc7c(OCC(CC)CCCC)c6s5)sc4C)s3)c3nsnc23)c1,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1cc(\C=C\c2ccc(s2)-c2ccc(-c3cccs3)c3nsnc23)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc(\C=C\c2ccc(s2)-c2ccc(-c3cccs3)c3nsnc23)c(C)s1,S205,-5.56,-3.53
r-PTTDPP50,1.47,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5sc(C)cc5/C=C/c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)s4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C)s2)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(s1)-c1ccc(C)s1)c1ccc(s1)-c1ccc(s1)-c1sc(cc1C=C)-c1ccc(s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1C=C,S467,-5.16,-3.6900000000000004
P1,2.4,CCCCC(CC)COc1c2cc(-c3ccc(N(c4ccccc4)c4ccc(-c5nc6sc(-c7ccc(N(c8ccccc8)c8ccc(C)cc8)cc7)nc6s5)cc4)cc3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)-c1nc2sc(nc2s1)-c1ccc(cc1)N(c1ccccc1)c1ccc(C)cc1,S424,-5.26,-2.86
PDPP-BDP,1.34,CCCCCC(CC)c1c(C(CC)CCCCC)c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)sc2c2sc(C)cc12,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2c(C)c(C)c3cc(sc3c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(C)c(C)c3cc(C)sc3c2s1,S28,-5.21,-3.87
PSB-TPTI (P4),1.86,CCCCC(CC)Cn1c(=O)c2cc3c(cc2c2sc(C)cc21)c(=O)n(CC(CC)CCCC)c1cc(-c2cc4c(s2)-c2sc(C)cc2[Si]4(CC(CC)CCCC)CC(CC)CCCC)sc31,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1cc2n(C)c(=O)c3cc4c5sc(cc5n(C)c(=O)c4cc3c2s1)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1cc2n(C)c(=O)c3cc4c5sc(C)cc5n(C)c(=O)c4cc3c2s1,S175,-5.34,-3.4799999999999995
PBDTDTBT,1.72,CCCCC(CC)COc1c2cc(-c3sc(-c4ccc(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S44,-5.24,-3.5200000000000005
IP3,1.6,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3cc4c(s3)/C(=C3\C(=O)N(CC(CC)CCCC)c5cc(C)sc53)C(=O)N4CC(CC)CCCC)cc21,CN1C(=O)\C(=C2\C(=O)N(C)c3cc(sc23)-c2ccc3-c4ccc(cc4C(C)(C)c3c2)-c2cc3N(C)C(=O)\C(=C4\C(=O)N(C)c5cc(sc45)-c4ccc5-c6ccc(C)cc6C(C)(C)c5c4)c3s2)c2sc(C)cc12,S98,-5.4,-3.8000000000000003
PBDFDTBT,1.6,CCCCC(CC)COc1c2cc(-c3sc(-c4ccc(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)oc2c(OCC(CC)CCCC)c2cc(C)oc12,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S56,-5.1,-3.4999999999999996
PBEHTT,2.22,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4ccc5c(c4)[Si](CC(CC)CCCC)(CC(CC)CCCC)c4cc(C)ccc4-5)cc3C[C@H](CC)CCCC)nc2s1,Cc1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1ccc2-c3ccc(cc3[Si](C)(C)c2c1)-c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1ccc2-c3ccc(C)cc3[Si](C)(C)c2c1,S153,-5.42,-3.1999999999999997
PBDTF-BT,1.7,CCCCCCc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CCCCCC)o3)c3cc(C)sc23)o1,Cc1cc2c(-c3ccco3)c3sc(cc3c(-c3ccco3)c2s1)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(-c4ccco4)c4sc(cc4c(-c4ccco4)c3s2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S58,-5.24,-3.54
PCVTTTT,2.0,C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5ccc(-c6ccc(-c7cc(CCCCCCCC)c(C)s7)s6)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(\C=C\C)ccc2c2ccc(\C=C\c3sc(cc3C)-c3ccc(s3)-c3ccc(s3)-c3cc(C)c(\C=C\c4ccc5c(c4)n(-c4ccc(OC)cc4)c4cc(\C=C\c6sc(cc6C)-c6ccc(s6)-c6ccc(s6)-c6cc(C)c(C)s6)ccc54)s3)cc12,S16,-5.4,-3.4000000000000004
PDTP-DTDPP,1.13,CCCCC(CC)CC(C[C@H](CC)CCCC)n1c2cc(C)sc2c2sc(-c3ccc(C4=C5C(=O)N(C[C@H](CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4C[C@H](CC)CCCC)s3)cc21,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2n(C)c3cc(sc3c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2n(C)c3cc(C)sc3c2s1,S26,-5.02,-3.8899999999999997
PVB1,1.99,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3c4cc(CCCCCCCC)sc4c(-c4ccc(C)s4)c4cc(CCCCCCCC)sc34)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c3cc(C)sc3c(-c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(s4)-c4c5cc(C)sc5c(-c5ccc(C)s5)c5cc(C)sc45)c4nsnc34)c3cc(C)sc23)c1OC,S461,-5.51,-3.5199999999999996
PBDFF-BT,1.61,CCCCCCc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)oc3c(-c3ccc(CCCCCC)o3)c3cc(C)oc23)o1,Cc1cc2c(-c3ccco3)c3oc(cc3c(-c3ccco3)c2o1)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(-c4ccco4)c4oc(cc4c(-c4ccco4)c3o2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S58,-5.11,-3.5
PBDFT-BT,1.68,CCCCCCc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)oc3c(-c3ccc(CCCCCC)s3)c3cc(C)oc23)s1,Cc1cc2c(-c3cccs3)c3oc(cc3c(-c3cccs3)c2o1)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4oc(cc4c(-c4cccs4)c3o2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S58,-5.08,-3.4000000000000004
PBT-TVT,1.53,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(/C=C/c6ccc(SC[C@@H](CC)CCCC)s6)s5)c5sc(C)cc5c(-c5ccc(/C=C/c6ccc(SCC(CC)CCCC)s6)s5)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(-c2cc3c(-c4cccs4)c4sc(C)cc4c(-c4cccs4)c3s2)c2sc(C(=O)OC)c(F)c12,S194,-5.29,-3.76
PBDTT-BT,1.67,CCCCCCc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CCCCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S58,-5.26,-3.59
PA,1.82,CCCCCCc1cc(C)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCC)c2nsnc12,Cc1cc(C)c(s1)-c1ccc(-c2sc(cc2C)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2cc(C)c(s2)-c2ccc(-c3sc(cc3C)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12,S473,-5.76,-3.9399999999999995
PBDTTT-S-T,1.61,CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(C)c3cc(sc23)S(C)(=O)=O)c2cc(sc12)S(C)(=O)=O,S42,-5.29,-3.6799999999999997
PDPP[Py]2-EDOT,1.59,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4sc(C)c5c4OCCO5)cn3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)cn1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)cn1)c1ccc(cn1)-c1sc(c2OCCOc12)-c1ccc(nc1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(cn1)-c1sc(C)c2OCCOc12,S427,-6.07,-4.48
PBDD-ff4T,1.74,CCCCC(CC)Cc1cc(-c2sc(-c3cc(CC(CC)CCCC)c(-c4cc(F)c(C)s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)sc1-c1cc(F)c(C)s1,Cc1cc(sc1-c1cc(F)c(C)s1)-c1sc(-c2cc(C)c(s2)-c2cc(F)c(s2)-c2sc(cc2F)-c2sc(cc2C)-c2sc(-c3cc(C)c(s3)-c3cc(F)c(C)s3)c3c2C(=O)c2c(C)sc(C)c2C3=O)c2c1C(=O)c1c(C)sc(C)c1C2=O,S407,-5.42,-3.6799999999999997
PBdT-DPP,1.41,CCCCCCCCOc1c(OCCCCCCCC)c2sc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc2c2cc(C)sc12,COc1c(OC)c2sc(cc2c2cc(C)sc12)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(s1)c(OC)c(OC)c1sc(cc21)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(C)s1,S390,-5.01,-3.5999999999999996
PBDD4T-2F,1.78,CCCCC(CC)Cc1cc(-c2sc(-c3cc(CC(CC)CCCC)c(-c4cc(F)c(-c5sc(C)cc5F)s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)sc1C,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(cc1C)-c1sc(-c2cc(C)c(s2)-c2cc(F)c(s2)-c2sc(cc2F)-c2sc(cc2C)-c2sc(-c3cc(C)c(C)s3)c3c2C(=O)c2c(C)sc(C)c2C3=O)c2c1C(=O)c1c(C)sc(C)c1C2=O,S452,-5.39,-3.6099999999999994
PBDT-DPP,1.56,CCCCC(CC)COc1c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(C)s1,S259,-5.05,-3.4899999999999998
PDPP-BDT,1.31,CCCCCCCCOc1c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)sc2c(OCCCCCCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(C)s1,S28,-5.16,-3.85
P2,1.65,CCCCCCCCC(CCCCCC)CCOc1c(OCCC(CCCCCC)CCCCCCCC)c(-c2ccc(-c3c(F)c(F)c(-c4ccc(C)s4)c4nsnc34)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c1OC,S482,-5.53,-3.8800000000000003
PQDT-DTPyT,1.56,CCCCCCCCc1nc2c3cc(C)sc3c3sc(-c4sc(-c5cnc(-c6cc(C[C@H](CC)CCCC)c(C)s6)c6nsnc56)cc4C[C@@H](CC)CCCC)cc3c2nc1CCCCCCCC,Cc1cc2c(s1)c1sc(cc1c1nc(C)c(C)nc21)-c1sc(cc1C)-c1cnc(-c2cc(C)c(s2)-c2cc3c(s2)c2sc(cc2c2nc(C)c(C)nc32)-c2sc(cc2C)-c2cnc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S211,-5.5,-3.94
PBDT-DPPF,1.59,CCCCC(CC)COc1c2cc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)o6)=C5C(=O)N4CC(CC)CCCC)o3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(o1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(o1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(o1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(C)o1,S259,-5.15,-3.5600000000000005
h-PPDTNTz,1.51,CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3cc4c(cc(C)c5nsnc54)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1,COc1cc(-c2ccc(s2)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2ccc(s2)-c2cc(OC)c(cc2OC)-c2ccc(s2)-c2cc3c4nsnc4c(C)cc3c3nsnc23)c(OC)cc1-c1ccc(C)s1,S442,-5.3,-3.79
PBDD4T,2.03,CCCCC(CC)Cc1cc(-c2sc(-c3cc(CC(CC)CCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3c2C(=O)c2c(CC(CC)CCCC)sc(CC(CC)CCCC)c2C3=O)sc1C,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1sc(-c2cc(C)c(s2)-c2ccc(s2)-c2ccc(s2)-c2sc(cc2C)-c2sc(-c3cc(C)c(C)s3)c3c2C(=O)c2c(C)sc(C)c2C3=O)c2c1C(=O)c1c(C)sc(C)c1C2=O,S452,-5.3,-3.27
P(BDT-T-BT),1.82,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OC[C@@H](CC)CCCC)c5sc(C)cc5c(OC[C@@H](CC)CCCC)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S78,-5.35,-3.5299999999999994
PBDT-DODTBT,1.64,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S204,-5.17,-3.5300000000000002
PBDFDODTBT,1.73,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c5oc(C)cc5c(OCC(CC)CCCC)c4o3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c5oc(C)cc5c(OC)c4o3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S57,-5.11,-3.3800000000000003
PDPP[Ph]2-EDOT,1.91,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4sc(C)c5c4OCCO5)cc3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)cc1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)cc1)c1ccc(cc1)-c1sc(c2OCCOc12)-c1ccc(cc1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(cc1)-c1sc(C)c2OCCOc12,S427,-5.89,-3.9799999999999995
PCEHTT,1.84,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4ccc5c6ccc(C)cc6n(C(CC(CC)CCCC)CC(CC)CCCC)c5c4)cc3C[C@H](CC)CCCC)nc2s1,Cc1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1ccc2c(c1)n(C)c1cc(C)ccc21,S153,-5.32,-3.4800000000000004
PBDTS-DTFBT,1.69,CCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCC)c(-c4cc5c(-c6ccc(SCC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(SCC(CC)CCCC)s6)c5s4)s3)c3nsnc23)sc1C,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S498,-5.47,-3.78
BTT-BTz,2.05,CCCCCCCCCCCCC(CCCCCCCCCCC)C1=CC2=C(S1)C1=C(SC(=C1)c1sc(nc1CCCCCC)-c1nc(CCCCCC)c(C)s1)C1=C2C=C(C)S1,Cc1cc2-c3cc(C)sc3C3=C(SC(=C3)c3sc(nc3C)-c3nc(C)c(s3)-c3cc4-c5cc(C)sc5C5=C(SC(=C5)c5sc(nc5C)-c5nc(C)c(C)s5)c4s3)c2s1,S398,-5.65,-3.6000000000000005
PBDPBT-T,1.83,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c(OCC(CC)CCCC)c5cc(C)sc5c4s3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c(OC)c4cc(sc4c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c(OC)c5cc(C)sc5c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S486,-5.31,-3.4799999999999995
PFBT-BDT,1.96,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OC[C@@H](CC)CCCC)c5sc(C)cc5c(OC[C@@H](CC)CCCC)c4s3)o2)c2nsnc2c1-c1ccc(C)o1,COc1c(OC)c(-c2ccc(o2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(o2)-c2c(OC)c(OC)c(-c3ccc(o3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)o1,S77,-5.44,-3.4800000000000004
PBDFDTBO,1.7,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c5oc(C)cc5c(OCC(CC)CCCC)c4o3)s2)c2nonc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c5oc(C)cc5c(OC)c4o3)c3nonc23)c2nonc2c1-c1ccc(C)s1,S57,-5.19,-3.49
PBDTBO,1.74,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)s2)c2nonc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nonc23)c2nonc2c1-c1ccc(C)s1,S60,-5.27,-3.5299999999999994
PBDT-DFBO,1.85,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)o2)c2nonc2c1-c1ccc(C)o1,COc1c(OC)c(-c2ccc(o2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(o2)-c2c(OC)c(OC)c(-c3ccc(o3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nonc23)c2nonc2c1-c1ccc(C)o1,S222,-5.34,-3.4899999999999998
PPhIBDT-C12 (P2),2.1,CCCCCCCCCCCCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5c4C(=O)N(CC(CC)CCCC)C5=O)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(C)s3)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12,S152,-5.36,-3.2600000000000002
PNDT-DTPyT,1.53,CCCCCCCCc1cc2c(cc1CCCCCCCC)c1cc(-c3sc(-c4cnc(-c5cc(C[C@H](CC)CCCC)c(C)s5)c5nsnc45)cc3C[C@@H](CC)CCCC)sc1c1sc(C)cc21,Cc1cc2c(s1)c1sc(cc1c1cc(C)c(C)cc21)-c1sc(cc1C)-c1cnc(-c2cc(C)c(s2)-c2cc3c(s2)c2sc(cc2c2cc(C)c(C)cc32)-c2sc(cc2C)-c2cnc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S211,-5.36,-3.83
PBDT-ID,1.54,CCCCC(CC)COc1c2cc(-c3ccc4c(c3)N(CC(CC)CCCC)C(=O)/C4=C3/C(=O)N(CC(CC)CCCC)c4cc(C)ccc43)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc2\C(C(=O)N(C)c2c1)=C1/C(=O)N(C)c2cc(ccc12)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc2\C(C(=O)N(C)c2c1)=C1/C(=O)N(C)c2cc(C)ccc12,S266,-5.2,-3.66
