Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
PSBTBT,S6,5.1,4.7,0.68,12.7,0.55,21.6,18.0 ,1.20 ,580,5.05,3.27,1.45,CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,38,82,581.0050000000018,4
PCPDTBT,S3,5.12,5.12,0.61,15.73,0.53,47.6,26.6 ,1.79 ,564,5.3,3.55,1.43,CC1=CC(C(CC(CCCC)CC)(CC(CCCC)CC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,38,82,564.9300000000019,4
PCPDTDFBT,S345,5.6,5.6,0.85,12.6,0.52,50.0,20.0 ,2.50 ,600,5.34,3.52,1.51,CC1=CC2=C(C(SC(C3=C(F)C(F)=C(C)C4=NSN=C34)=C5)=C5C2(CC(CC)CCCC)CC(CC)CCCC)S1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3c(F)c(F)c(C)c4nsnc34)cc21,40,82,600.9100000000017,4
PCPDTFBT,S306,5.81,5.81,0.76,15.0,0.51,36.0,23.4 ,1.54 ,582,5.15,3.71,1.44,CC1=CC2=C(C(SC(C3=CC(F)=C(C)C4=NSN=C34)=C5)=C5C2(CC(CCCC)CC)CC(CCCC)CC)S1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3cc(F)c(C)c4nsnc34)cc21,39,82,582.9200000000018,4
PTTEHV,S153,1.19,1.03,0.53,5.02,0.39,4.2,2.5 ,1.65 ,584,5.4,3.53,1.8,CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(/C=C/C)S4,C/C=C/c1cc(C[C@H](CC)CCCC)c(-c2nc3sc(-c4sc(C)cc4CC(CC)CCCC)nc3s2)s1,38,82,584.986000000002,4
PGeBTBT,S309,4.5,4.5,0.57,18.6,0.43,98.0,31.0 ,3.16 ,626,4.78,3.31,1.47,CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5[Ge]2(CC(CCCC)CC)C[C@H](CCCC)CC)S1,CCCCC(CC)C[Ge]1(C[C@@H](CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,38,82,625.5290000000018,4
PBTTPD,S301,5.98,5.75,0.9,10.38,0.64,77.3,44.7 ,1.73 ,583,5.51,3.36,1.77,CC1=CC=C(C2=CC=C(C3=C4C(C(N(C(CCCCCCCC)CCCCCCCC)C4=O)=O)=C(C)S3)S2)S1,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(-c4ccc(C)s4)s3)c2C1=O,39,84,583.929000000002,3
PDTPBT-C8,S359,1.23,1.23,0.43,6.19,0.46,20.3,14.9 ,1.37 ,579,4.89,3.08,1.41,CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5N2C(CCCCCCCC)CCCCCCCC)S1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,39,84,579.9450000000019,5
pDSBT-BT,S375,6.38,6.38,0.82,12.69,0.6,38.0,20.0 ,1.90 ,610,5.2,3.5,1.7,CC1=CC([Si](CCCC)(CCCC)[Si](CCCC)(CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C54)=C2)=C3S1,CCCC[Si]1(CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc2[Si]1(CCCC)CCCC,39,85,611.1070000000019,4
PBTCTO,S236,3.9,3.9,0.72,8.76,0.62,24.2,10.5 ,2.30 ,608,5.4,3.42,1.85,CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C=CC4=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C=C4)sc2c(OCC(CC)CCCC)c2cc(C)sc12,41,85,608.935000000002,4
