Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
PBDTOT-DPP,S449,3.05,3.05,0.78,8.29,0.472,29.2,10.7 ,2.73 ,1249,5.2,3.52,1.33,CC1=CC2=C(C(C3=C(OC)C(OC)=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CC)CCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CC(CC)CCCC)C6=O)S4)S8)C8=C2C9=C(OC)C(OC)=C(CC(CC)CCCC)S9)S1,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)s7)=C6C(=O)N5CC(CC)CCCC)s4)sc3c(-c3sc(CC(CC)CCCC)c(OC)c3OC)c3cc(C)sc23)c(OC)c1OC,84,176,1249.916000000003,7
PBDTTFTQ-DO,S253,7.61,7.42,0.88,11.4,0.759,250.1,76.0 ,3.29 ,1304,5.37,3.03,1.72,CC(S1)=CC=C1C2=CC(F)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CCCC)CC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C%10=CC=C(CCCCCCCC)S%10)C(C%11=CC=C(CCCCCCCC)S%11)=N9,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)cc(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(CCCCCCCC)s2)s1,87,176,1306.0960000000025,11
PCDTPBT,S326,2.54,2.54,0.72,7.47,0.47,121.0,27.0 ,4.47 ,1094,5.06,2.67,2.13,CC1=CC2=C(C(C3=NSN=C3C4=C5N(CCCCCCCCCCCC)C6=C4SC(C7=CC8=C(C(C=CC(C)=C9)=C9N8C(CCCCCCCC)CCCCCCCC)C=C7)=C6)=C5N2CCCCCCCCCCCC)S1,CCCCCCCCCCCCn1c2cc(C)sc2c2c3nsnc3c3c4sc(-c5ccc6c7ccc(C)cc7n(C(CCCCCCCC)CCCCCCCC)c6c5)cc4n(CCCCCCCCCCCC)c3c21,77,176,1094.7870000000028,9
PBDT-DFQX-TT,S251,7.68,7.68,0.86,12.77,0.699,81.3,44.5 ,1.82 ,1322,5.2,3.5,1.72,CC(S1)=CC=C1C2=C(F)C(F)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(C[C@H](CCCC)CC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C(S%10)=CC=C%10C[C@@H](CC)CCCC)C(C%11=CC=C(S%11)CC(CC)CCCC)=N9,CCCCC(CC)Cc1ccc(-c2nc3c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(C[C@@H](CC)CCCC)s7)c6s5)s4)c(F)c(F)c(-c4ccc(C)s4)c3nc2-c2ccc(C[C@@H](CC)CCCC)s2)s1,88,176,1324.0860000000025,11
PCDTTPD-ic,S145,0.14,0.14,1.01,0.56,0.25,24.0,18.0 ,1.30 ,1085,5.47,3.39,2.21,CC1=C(CCCCCCCC)C=C(C(S2)=C3C(C(N(CCCCCCCC)C3=O)=O)=C2C4=CC(CCCCCCCC)=C(C5=CC(N(C(CCCCCCCC)CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4)S1,CCCCCCCCc1cc(-c2sc(-c3cc(CCCCCCCC)c(-c4ccc5c6ccc(C)cc6n(C(CCCCCCCC)CCCCCCCC)c5c4)s3)c3c2C(=O)N(CCCCCCCC)C3=O)sc1C,76,176,1085.7720000000031,6
PBDT_TEH-TBTT_EHi (P1),S185,6.7,6.48,0.6,17.77,0.631,33.4,7.9 ,4.21 ,1313,4.64,3.1,1.54,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(SC(CCCCCC)=C5)=C(C6=C(C(N(CC(CC)CCCC)C7=O)=O)C7=C(C8=C9C(C=C(CCCCCC)S9)=C(C)S8)S6)S4)S%10)C%10=C2C%11=CC=C(CC(CC)CCCC)S%11,CCCCCCc1cc2c(C)sc(-c3sc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)c5cc(CCCCCC)sc45)c4c3C(=O)N(CC(CC)CCCC)C4=O)c2s1,86,177,1315.1500000000026,10
PBDTTID,S234,3.12,3.12,0.8,6.5,0.6,52.3,20.4 ,2.56 ,1176,5.4,3.78,1.53,CC1=CC2=C(C(OC[C@@H](CCCCCCCC)CCCCCC)=C(C=C(C3=CC=C(C4=C(C=C(C(N(CC(CCCC)CC)C5=O)=O)C5=C6)C6=C(C7=CC=C(C)S7)S4)S3)S8)C8=C2OCC(CCCCCC)CCCCCCCC)S1,CCCCCCCCC(CCCCCC)COc1c2cc(C)sc2c(OC[C@H](CCCCCC)CCCCCCCC)c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5cc6c(cc45)C(=O)N(CC(CC)CCCC)C6=O)s3)sc12,80,177,1176.884000000003,7
PffBT-2TPF4,S451,3.6,3.49,1.017,6.73,0.526,8.9,5.5 ,1.61 ,1237,5.84,4.07,1.77,CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C(F)=C5F)S4)S3)C7=NSN=C72)S1,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c(F)c5F)s4)s3)c3nsnc23)sc1C,83,177,1237.8590000000033,7
P3,S47,5.77,5.77,0.83,10.6,0.65,167.7,19.5 ,8.60 ,1238,5.42,3.52,1.89,O=C1N(CC(CCCC)CCCCCC)C(C2=C(C3=CC(SC(C)=C4CCCCCC)=C4S3)SC(C5=CC6=C(S5)C(CCCCCC)=C(C7=CC8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CCCC)CC)=C8S7)S6)=C21)=O,CCCCCCc1c(C)sc2cc(-c3sc(-c4cc5sc(-c6cc7c(OCC(CC)CCCC)c8sc(C)cc8c(OCC(CC)CCCC)c7s6)c(CCCCCC)c5s4)c4c3C(=O)N(CC(CCCC)CCCCCC)C4=O)sc12,82,177,1239.0020000000027,8
PBT-2TPF4,S451,5.7,5.59,0.854,10.93,0.606,12.4,10.1 ,1.23 ,1201,5.63,3.88,1.75,CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=CC=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C(F)=C5F)S4)S3)C7=NSN=C72)S1,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ccc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c(F)c5F)s4)s3)c3nsnc23)sc1C,81,177,1201.8790000000033,7
PBDT_TEH-TBTT_HDo (P2),S185,4.45,4.37,0.6,15.21,0.486,22.0,5.5 ,3.98 ,1313,4.63,3.17,1.46,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(C=C(CCCCCC)S5)=C(C6=C(C(N(CC(CC)CCCC)C7=O)=O)C7=C(C8=C9C(SC(CCCCCC)=C9)=C(C)S8)S6)S4)S%10)C%10=C2C%11=CC=C(CC(CC)CCCC)S%11,CCCCCCc1cc2c(-c3sc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)c5sc(CCCCCC)cc45)c4c3C(=O)N(CC(CC)CCCC)C4=O)sc(C)c2s1,86,177,1315.1500000000026,10
PCBTDPP,S24,3.8,3.8,0.77,9.1,0.55,56.7,27.0 ,2.10 ,1068,5.4,3.9,1.58,O=C1N(CCCCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C(C=C5)=CC6=C5C7=CC=C(C)C=C7N6C(CCCCCCCCCC)CCCCCCCCCC)S4)N(CCCCCCCCCC)C3=O,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CCCCCCCCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCCCCCCCC)s3)cc21,76,177,1068.7200000000032,5
PBDT-DFQX-TTSC8,S483,8.51,8.37,0.85,14.63,0.682,116.9,40.3 ,2.90 ,1386,5.37,3.47,1.72,CC1=CC2=C(C(C3=CC=C(SCCCCCCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(CC(CC)CCCC)S8)C(C9=CC=C(CC(CC)CCCC)S9)=N7)S4)S%10)C%10=C2C%11=CC=C(SCCCCCCCC)S%11)S1,CCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7ccc(CC(CC)CCCC)s7)c(-c7ccc(CC(CC)CCCC)s7)nc56)s4)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1,90,178,1388.220000000002,11
PIDT-phanQ,S316,6.24,6.24,0.87,11.2,0.64,234.0,82.4 ,2.84 ,1213,5.28,3.61,1.67,CC1=CC2=C(C(C=C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC(C7=CC=C(C)C8=C7N=C(C9=C%10C=CC=C9)C(C%11=CC=CC=C%11%10)=N8)=C5)C6=C%12)=C%12C2(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C)c5nc6c7ccccc7c7ccccc7c6nc35)sc2-4)cc1,90,178,1213.7980000000023,12
PBDT-TTQ,S243,1.52,1.52,0.62,4.8,0.51,85.6,71.3 ,1.20 ,1318,5.08,3.61,1.62,CC(S1)=CC=C1C2=CC=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCCCCCCCC)=C(OCCCCCCCC)C6=C5C=C(C)S6)C7=C2N=C(C(S8)=CC=C8C9=CC(CCCCCCCC)=CS9)C(C%10=CC=C(S%10)C%11=CC(CCCCCCCC)=CS%11)=N7,CCCCCCCCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nc(-c6ccc(-c7cc(CCCCCCCC)cs7)s6)c(-c6ccc(-c7cc(CCCCCCCC)cs7)s6)nc45)s3)sc2c(OCCCCCCCC)c2cc(C)sc12,88,178,1320.1040000000025,11
P3,S455,7.13,7.06,0.92,12.21,0.64,149.6,44.0 ,3.40 ,1253,5.56,3.78,1.78,CC1=CC2=C(C(C3=CC=C(SCC(CCCC)CC)S3)=C(C=C(C4=C(C#N)C(OCCCCCCCCCCCC)=C(C5=C(OCCCCCCCCCCCC)C(C#N)=C(C)S5)S4)S6)C6=C2C7=CC=C(SCC(CCCC)CC)S7)S1,CCCCCCCCCCCCOc1c(-c2sc(-c3cc4c(-c5ccc(SCC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(SCC(CC)CCCC)s5)c4s3)c(C#N)c2OCCCCCCCCCCCC)sc(C)c1C#N,82,178,1254.086000000003,7
PBDT-DFQX-TTSEH,S483,7.02,6.71,0.85,12.58,0.661,169.4,45.9 ,3.69 ,1386,5.48,3.46,1.73,CC1=CC2=C(C(C3=CC=C(SCC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(CC(CC)CCCC)S8)C(C9=CC=C(CC(CC)CCCC)S9)=N7)S4)S%10)C%10=C2C%11=CC=C(SCC(CC)CCCC)S%11)S1,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7ccc(CC(CC)CCCC)s7)c(-c7ccc(CC(CC)CCCC)s7)nc56)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,90,178,1388.220000000002,11
C3-DPPTTSe,S88,7.6,7.6,0.56,21.5,0.63,238.0,95.0 ,2.50 ,1187,5.07,3.7,1.37,O=C1C(C2=C(C3=CC4=C(C=C(C)S4)S3)N1CCCC(CCCCCCCCCC)CCCCCCCC)=C(C5=CC6=C(C=C(C7=CC=C(C)[Se]7)S6)S5)N(CCCC(CCCCCCCC)CCCCCCCCCC)C2=O,CCCCCCCCCCC(CCCCCCCC)CCCN1C(=O)C2=C(c3cc4sc(-c5ccc(C)[se]5)cc4s3)N(CCCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,77,179,1186.804000000003,5
PzNDTDTBT,S314,3.22,3.22,0.6,8.88,0.605,57.4,32.8 ,1.75 ,1191,5.15,3.43,1.76,CC1=CC(C=C(OCC(CC)CCCC)C2=C3C(OCC(CC)CCCC)=CC4=C2SC(C5=CC=C(C6=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C7=CC=C(C)S7)C8=NSN=C86)S5)=C4)=C3S1,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4cc(OCC(CC)CCCC)c5c6sc(C)cc6cc(OCC(CC)CCCC)c5c4s3)s2)c2nsnc2c1-c1ccc(C)s1,81,179,1191.899000000003,8
PBT-SO2-H,S190,6.52,6.52,0.71,14.6,0.629,35.7,14.3 ,2.50 ,1360,5.16,3.14,1.64,CC(S1)=CC2=C1C(C3=CC=C(S(CC(CCCC)CC)(=O)=O)S3)=C(C=C(C4=CC=C(C5=C6C(C=C(C(OCC(CCCCCCCCCC)CCCCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC=C(S(CC(CCCC)CC)(=O)=O)S9,CCCCCCCCCCC(CCCCCCCC)COC(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(S(=O)(=O)CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(S(=O)(=O)CC(CC)CCCC)s6)c5s4)s3)c2s1,87,179,1362.1810000000028,9
C3-DPPTTTe,S88,7.1,7.1,0.52,21.7,0.63,272.0,91.0 ,3.00 ,1237,5.05,3.73,1.32,O=C1C(C2=C(C3=CC4=C(C=C(C)S4)S3)N1CCCC(CCCCCCCCCC)CCCCCCCC)=C(C5=CC6=C(C=C(C7=CC=C(C)[Te]7)S6)S5)N(CCCC(CCCCCCCC)CCCCCCCCCC)C2=O,CCCCCCCCCCC(CCCCCCCC)CCCN1C(=O)C2=C(c3cc4sc(-c5ccc(C)[te]5)cc4s3)N(CCCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,77,179,1235.444000000003,5
PC2,S148,7.26,7.26,0.94,12.84,0.587,44.8,23.3 ,1.90 ,1178,5.43,3.56,2.01,CC1=CC(C2(CCCCCC)CCCCCC)=C(C=C1)C3=C2C=C(C(C=C4C(C5=CC=C(C6=CC=C(C7=C(OCCCC)C(OCCCC)=C(C8=CC=C(C)S8)C9=NSN=C97)S6)C=C5C4(CCCCCC)CCCCCC)=C%10)=C%10N%11CC)C%11=C3,CCCCCCC1(CCCCCC)c2cc(C)ccc2-c2cc3c(cc21)c1cc2c(cc1n3CC)-c1ccc(-c3ccc(-c4c(OCCCC)c(OCCCC)c(-c5ccc(C)s5)c5nsnc45)s3)cc1C2(CCCCCC)CCCCCC,84,179,1178.816000000003,9
PSB-FTT,S493,4.45,4.39,0.82,9.5,0.57,247.8,99.9 ,2.48 ,1195,5.21,3.41,1.97,CC1=CC2=C(C(C3=CC=C(SCC(CCCCCC)CCCCCCCC)C=C3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCC(CCCCCC)CCCCCCCC)C=C7)S1,CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)cc3)c3cc(C)sc23)cc1,80,179,1195.971000000003,7
PzNDTDTBO,S314,5.07,5.07,0.74,10.46,0.655,75.3,50.0 ,1.50 ,1175,5.3,3.38,1.76,CC1=CC(C=C(OCC(CC)CCCC)C2=C3C(OCC(CC)CCCC)=CC4=C2SC(C5=CC=C(C6=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C7=CC=C(C)S7)C8=NON=C86)S5)=C4)=C3S1,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4cc(OCC(CC)CCCC)c5c6sc(C)cc6cc(OCC(CC)CCCC)c5c4s3)s2)c2nonc2c1-c1ccc(C)s1,81,179,1175.831000000003,8
C3-DPPTTT,S88,8.8,8.8,0.57,23.5,0.66,154.0,80.0 ,1.90 ,1139,5.08,3.69,1.39,O=C1C(C2=C(C3=CC4=C(C=C(C)S4)S3)N1CCCC(CCCCCCCCCC)CCCCCCCC)=C(C5=CC6=C(C=C(C7=CC=C(C)S7)S6)S5)N(CCCC(CCCCCCCC)CCCCCCCCCC)C2=O,CCCCCCCCCCC(CCCCCCCC)CCCN1C(=O)C2=C(c3cc4sc(-c5ccc(C)s5)cc4s3)N(CCCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,77,179,1139.911000000003,5
PtFBTPBDT,S444,3.11,3.07,0.83,5.79,0.64,106.0,53.0 ,2.00 ,1185,5.42,3.97,1.45,CC1=CC(C2=C/3C=CC(F)=C2)=C(S1)C3=C(C4=C5C=C(C6=CC7=C(OCCCCCCCCCCCCCCCCCCCC)C8=C(C=C(C)S8)C(OCCCCCCCCCCCCCCCCCCCC)=C7S6)S4)/C9=C5C=C(F)C=C9,CCCCCCCCCCCCCCCCCCCCOc1c2cc(-c3cc4c(s3)/C(=C3\c5ccc(F)cc5-c5cc(C)sc53)c3ccc(F)cc3-4)sc2c(OCCCCCCCCCCCCCCCCCCCC)c2cc(C)sc12,82,180,1185.860000000003,7
PBDTDT(Qx-2)-O,S248,4.44,4.44,0.91,9.38,0.52,23.7,11.9 ,1.99 ,1235,5.29,2.77,1.9,CC(S1)=CC=C1C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCC(CCCC)CC)=C(OC[C@H](CC)CCCC)C6=C5C=C(C)S6)C7=C2N=C(C8=CC=C(OC)C=C8)C(C9=CC=C(OC)C=C9)=N7,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OC[C@H](CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)s2)c2nc(-c3ccc(OC)cc3)c(-c3ccc(OC)cc3)nc2c1-c1ccc(C)s1,86,180,1235.8420000000028,9
PtBTPBDT,S444,4.03,3.89,0.68,9.09,0.63,133.0,70.0 ,1.90 ,1149,5.29,3.83,1.46,CC(S1)=CC2=C1C(C=CC=C3)=C3/C2=C(C4=C5C=C(C6=CC7=C(OCCCCCCCCCCCCCCCCCCCC)C8=C(C=C(C)S8)C(OCCCCCCCCCCCCCCCCCCCC)=C7S6)S4)/C9=C5C=CC=C9,CCCCCCCCCCCCCCCCCCCCOc1c2cc(-c3cc4c(s3)/C(=C3\c5ccccc5-c5sc(C)cc53)c3ccccc3-4)sc2c(OCCCCCCCCCCCCCCCCCCCC)c2cc(C)sc12,80,180,1149.8800000000028,7
PcBTPBDT,S444,1.23,1.19,0.66,3.4,0.53,70.0,27.0 ,2.60 ,1149,5.29,3.81,1.48,CC(S1)=CC(C2=C/3C=CC=C2)=C1C3=C4C(SC(C5=CC(C(OCCCCCCCCCCCCCCCCCCCC)=C(SC(C)=C6)C6=C7OCCCCCCCCCCCCCCCCCCCC)=C7S5)=C8)=C8C9=C/4C=CC=C9,CCCCCCCCCCCCCCCCCCCCOc1c2cc(-c3cc4c(s3)/C(=C3/c5ccccc5-c5cc(C)sc53)c3ccccc3-4)sc2c(OCCCCCCCCCCCCCCCCCCCC)c2cc(C)sc12,80,180,1149.880000000003,7
PIDT-diphQ,S316,5.69,5.69,0.87,10.9,0.6,165.0,68.2 ,2.42 ,1215,5.33,3.52,1.81,CC1=CC2=C(C(C=C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC(C7=CC=C(C)C8=C7N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N8)=C5)C6=C%11)=C%11C2(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)S1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)sc2-4)cc1,90,180,1215.8140000000024,11
PDST-BDD,S189,5.95,5.95,1.0,10.8,0.551,91.7,53.0 ,1.73 ,1396,5.52,3.69,1.83,CC(S1)=CC=C1C2=C(C(C3=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C3C4=O)=O)C4=C(S2)C5=CC=C(C6=CC7=C(C8=CC(SCCCC)=C(SCCCCCC)S8)C9=C(C=C(C)S9)C(C%10=CC(SCCCC)=C(SCCCCCC)S%10)=C7S6)S5,CCCCCCSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(SCCCC)c(SCCCCCC)s3)c3cc(C)sc23)cc1SCCCC,88,180,1398.3520000000026,9
PtBTPIDT,S444,3.64,3.46,0.77,10.01,0.45,48.7,35.1 ,1.39 ,1273,5.28,3.78,1.5,CC1=CC(C(C=CC=C2)=C2/C3=C4C(SC(C5=CC(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9C=C%10C(C(SC(C)=C%11)=C%11C%10(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)=C8)=C9S5)=C%14)=C%14C%15=C\4C=CC=C%15)=C3S1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc5c(s3)/C(=C3\c6ccccc6-c6cc(C)sc63)c3ccccc3-5)sc2-4)cc1,92,180,1273.940000000002,11
PECz-DTQx,S351,6.07,6.07,0.81,11.4,0.658,50.7,24.3 ,2.09 ,1160,5.15,3.45,1.7,CC1=CC2=C(C3=C4C=C(C5=CC=C(C6=C(N=C(C7=CC=C(OCCCCCCCC)C=C7)C(C8=CC=C(OCCCCCCCC)C=C8)=N9)C9=C(C%10=CC=C(C)S%10)C=C6)S5)C=C3CC2)C(N4C(CCCCCCCC)CCCCCCCC)=C1,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c7c8c(cc(C)cc8n(C(CCCCCCCC)CCCCCCCC)c7c5)CC6)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,84,181,1160.7760000000028,9
PBDTDTffBT-R,S415,9.09,9.01,0.88,13.98,0.739,153.3,71.3 ,2.15 ,1221,5.03,3.28,1.75,CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=C(F)C(F)=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2C8=CC=C(OCC(CC)CCCC)C=C8,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(-c2ccc(OCC(CC)CCCC)cc2)c2cc(C)sc12,83,181,1221.9190000000028,8
PDTTDPP-EH,S499,2.22,2.22,0.54,8.0,0.51,46.8,13.0 ,3.60 ,1247,5.11,3.69,1.42,CC1=CC(CCCCCCCCCCCC)=C(C2=CC(SC3=C4SC(C5=C(CCCCCCCCCCCC)C=C(C6=CC=C(C(N(CC(CCCC)CC)C7=O)=C8C7=C(C9=CC=C(C)S9)N(CC(CC)CCCC)C8=O)S6)S5)=C3)=C4S2)S1,CCCCCCCCCCCCc1cc(C)sc1-c1cc2sc3cc(-c4sc(-c5ccc(C6=C7C(=O)N(CC(CC)CCCC)C(c8ccc(C)s8)=C7C(=O)N6CC(CC)CCCC)s5)cc4CCCCCCCCCCCC)sc3c2s1,83,181,1248.0570000000027,7
PBDTDTBT-R,S415,8.22,8.12,0.84,13.64,0.717,282.2,120.1 ,2.35 ,1185,5.01,3.29,1.72,CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=CC=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2C8=CC=C(OCC(CC)CCCC)C=C8,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(-c4ccc(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(-c2ccc(OCC(CC)CCCC)cc2)c2cc(C)sc12,81,181,1185.939000000003,8
P4TPDTQ,S29,1.29,1.29,0.69,5.39,0.35,26.6,13.2 ,2.02 ,1283,5.28,3.22,1.83,CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=C4N=C(C7=CC=C(OCC(CC)CCCC)C=C7)C(C8=CC=C(OCC(CCCC)CC)C=C8)=N6)SC(C9=CC(C%10=CC=C(CC(CCCC)CC)S%10)=C(C)S9)=C2,CCCCC(CC)COc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5sc(-c6cc(-c7ccc(CC(CC)CCCC)s7)c(C)s6)cc5-c5ccc(C[C@@H](CC)CCCC)s5)s4)c3nc2-c2ccc(OCC(CC)CCCC)cc2)cc1,88,182,1284.0240000000026,10
PTzNTz-EHBO,S108,9.0,8.7,0.84,16.0,0.67,64.3,32.7 ,2.00 ,1301,5.41,3.45,1.58,CC1=CC(CC(CCCC)CC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=C(CC(CCCCCC)CCCC)C=C(C5=CC(C6=NSN=C6C(C7=CC(CC(CCCCCC)CCCC)=C(C)S7)=C8)=C8C9=NSN=C95)S4)S3)=N%10)=C%10S2)S1,CCCCCCC(CCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCC)CCCCCC)c(-c5cc(CC(CC)CCCC)c(-c6nc7sc(-c8sc(C)cc8CC(CC)CCCC)nc7s6)s5)s4)c4nsnc43)c3nsnc23)sc1C,86,182,1302.138000000003,10
