Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,bdt,fluorene,cpdt,tdt,others
P3,1.67,CCCCCCCCC(CCCCCCCC)CCOc1c(OCCC(CCCCCCCC)CCCCCCCC)c(-c2ccc(-c3c(F)c(F)c(-c4ccc(C)s4)c4nsnc34)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c1OC,S482,0,0,0,0,1
PBDT-TFQ,1.73,CCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(OCC(CC)CCCC)c7sc(C)cc7c(OCC(CC)CCCC)c6s5)s4)c3nc2-c2cccc(OCCCCCC)c2)c1,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(C)s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S245,1,0,0,0,0
PBDT-OBT,1.67,CCCCCCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5cc(OCCCCCCCC)c(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3ccc(CCCCCCCCCCCC)s3)c3cc(C)sc23)s1,COc1cc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(OC)cc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S209,1,0,0,0,0
PBDTF-DPP,1.44,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)s7)=C6C(=O)N5CC(CC)CCCC)s4)sc3c(-c3ccc(CC(CC)CCCC)o3)c3cc(C)sc23)o1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2c(-c3ccco3)c3sc(cc3c(-c3ccco3)c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(-c3ccco3)c3sc(C)cc3c(-c3ccco3)c2s1,S259,1,0,0,0,0
PBDTT-FDPP,1.55,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)o7)=C6C(=O)N5CC(CC)CCCC)o4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)o1)c1ccc(o1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1ccc(o1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(o1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1,S388,1,0,0,0,0
PBDTT-DFBO,1.81,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)o2)c2nonc2c1-c1ccc(C)o1,COc1c(OC)c(-c2ccc(o2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(o2)-c2c(OC)c(OC)c(-c3ccc(o3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nonc23)c2nonc2c1-c1ccc(C)o1,S222,1,0,0,0,0
PBDTTTBS,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2n[se]nc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3n[se]nc23)c2n[se]nc2c1-c1ccc(C)s1,S220,1,0,0,0,0
PBDTSSBS,1.56,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)[se]2)c2n[se]nc2c1-c1ccc(C)[se]1,COc1c(OC)c(-c2ccc([se]2)-c2cc3c(-c4ccc[se]4)c4sc(cc4c(-c4ccc[se]4)c3s2)-c2ccc([se]2)-c2c(OC)c(OC)c(-c3ccc([se]3)-c3cc4c(-c5ccc[se]5)c5sc(C)cc5c(-c5ccc[se]5)c4s3)c3n[se]nc23)c2n[se]nc2c1-c1ccc(C)[se]1,S220,1,0,0,0,0
PTBFTDTBT,1.63,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3o2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4o3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S71,1,0,0,0,0
PBDTSTBS,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)s2)c2n[se]nc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4ccc[se]4)c4sc(cc4c(-c4ccc[se]4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5ccc[se]5)c5sc(C)cc5c(-c5ccc[se]5)c4s3)c3n[se]nc23)c2n[se]nc2c1-c1ccc(C)s1,S220,1,0,0,0,0
